"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
60,0.4,0.2,"TC",21.6774639133302
60,0.4,0.2,"TC",22.9027676482578
60,0.4,0.2,"TC",19.3386143192573
60,0.4,0.2,"TC",18.0724279213189
60,0.4,0.2,"TC",20.544154967684
60,0.4,0.2,"TC",19.8967075724492
60,0.4,0.2,"TC",20.9931599991534
60,0.4,0.2,"TC",19.9721422782013
60,0.4,0.2,"TC",19.2847957118495
60,0.4,0.2,"TC",23.4156804139603
60,0.4,0.2,"TC",20.9323477281208
60,0.4,0.2,"TC",16.103049610638
60,0.4,0.2,"TC",21.2997546547899
60,0.4,0.2,"TC",23.7165753106423
60,0.4,0.2,"TC",19.1685370822182
60,0.4,0.2,"TC",15.7938785338128
60,0.4,0.2,"TC",16.7967174148845
60,0.4,0.2,"TC",17.0551802921568
60,0.4,0.2,"TC",15.7085087869131
60,0.4,0.2,"TC",17.4965082435743
60,0.4,0.2,"TC",20.2679134632489
60,0.4,0.2,"TC",18.8635034843969
60,0.4,0.2,"TC",18.1404168355868
60,0.4,0.2,"TC",20.5737523530073
60,0.4,0.2,"TC",17.174901602581
60,0.4,0.2,"TC",18.2399012985245
60,0.4,0.2,"TC",21.0614352052957
60,0.4,0.2,"TC",18.9011657295599
60,0.4,0.2,"TC",21.7357284413295
60,0.4,0.2,"TC",26.8259343561906
60,0.4,0.2,"TC",16.5198982657959
60,0.4,0.2,"TC",17.3383684008992
60,0.4,0.2,"TC",20.7548207038692
60,0.4,0.2,"TC",16.0509205901144
60,0.4,0.2,"TC",16.9098211492909
60,0.4,0.2,"TC",16.1345120960764
60,0.4,0.2,"TC",19.6478555570415
60,0.4,0.2,"TC",21.5393508362627
60,0.4,0.2,"TC",17.0865569393481
60,0.4,0.2,"TC",28.0697659149564
60,0.4,0.2,"TC",25.1777747458687
60,0.4,0.2,"TC",15.5144234415906
60,0.4,0.2,"TC",16.7991890025494
60,0.4,0.2,"TC",17.9997830529352
60,0.4,0.2,"TC",22.0269681057114
60,0.4,0.2,"TC",21.028020650477
60,0.4,0.2,"TC",20.0427389034558
60,0.4,0.2,"TC",15.6334098828459
60,0.4,0.2,"TC",17.6374105689234
60,0.4,0.2,"TC",16.3675068868478
60,0.4,0.2,"TC",20.6248488988729
60,0.4,0.2,"TC",21.7326578748862
60,0.4,0.2,"TC",16.3845302785187
60,0.4,0.2,"TC",23.5830901981303
60,0.4,0.2,"TC",22.8873007207113
60,0.4,0.2,"TC",20.0234536262072
60,0.4,0.2,"TC",21.2481824494602
60,0.4,0.2,"TC",14.6040068351593
60,0.4,0.2,"TC",17.96275017204
60,0.4,0.2,"TC",19.7744399543315
60,0.4,0.2,"TC",19.9050541608415
60,0.4,0.2,"TC",19.7886124706696
60,0.4,0.2,"TC",23.6227148487292
60,0.4,0.2,"TC",21.7610855495064
60,0.4,0.2,"TC",16.501035238116
60,0.4,0.2,"TC",20.7658925121026
60,0.4,0.2,"TC",23.7442346089959
60,0.4,0.2,"TC",20.5379102078975
60,0.4,0.2,"TC",17.4128043072864
60,0.4,0.2,"TC",15.4604091310203
60,0.4,0.2,"TC",21.135676919721
60,0.4,0.2,"TC",20.6648610731644
60,0.4,0.2,"TC",18.9552667259445
60,0.4,0.2,"TC",15.1363453805724
60,0.4,0.2,"TC",17.2054898115265
60,0.4,0.2,"TC",17.4231181140927
60,0.4,0.2,"TC",16.6704504884144
60,0.4,0.2,"TC",19.663268097862
60,0.4,0.2,"TC",17.913359338552
60,0.4,0.2,"TC",19.3715409042238
60,0.4,0.2,"TC",24.4580024493541
60,0.4,0.2,"TC",15.2791447148123
60,0.4,0.2,"TC",19.5147234399528
60,0.4,0.2,"TC",20.1066771884758
60,0.4,0.2,"TC",20.4917148775061
60,0.4,0.2,"TC",23.157363287899
60,0.4,0.2,"TC",21.074102277917
60,0.4,0.2,"TC",16.95347325833
60,0.4,0.2,"TC",22.2266681223601
60,0.4,0.2,"TC",24.471981052192
60,0.4,0.2,"TC",20.53082061838
60,0.4,0.2,"TC",23.0994646086259
60,0.4,0.2,"TC",14.1169418496238
60,0.4,0.2,"TC",19.6090745039286
60,0.4,0.2,"TC",18.1962208212044
60,0.4,0.2,"TC",23.8557135867529
60,0.4,0.2,"TC",12.9116854285584
60,0.4,0.2,"TC",17.2859700769888
60,0.4,0.2,"TC",20.6371525135312
60,0.4,0.2,"TC",16.3026732803956
60,0.4,0.2,"TC",18.4800404464223
60,0.4,0.2,"TC",17.3020815469287
60,0.4,0.2,"TC",23.9837126369838
60,0.4,0.2,"TC",24.3289055156715
60,0.4,0.2,"TC",19.1742124403842
60,0.4,0.2,"TC",15.0366828291684
60,0.4,0.2,"TC",15.8916290557488
60,0.4,0.2,"TC",21.0049291505691
60,0.4,0.2,"TC",17.753545886084
60,0.4,0.2,"TC",20.6482798925588
60,0.4,0.2,"TC",18.9643572069286
60,0.4,0.2,"TC",16.8998617624843
60,0.4,0.2,"TC",18.9866213325068
60,0.4,0.2,"TC",18.0122185033014
60,0.4,0.2,"TC",19.7745290665152
60,0.4,0.2,"TC",21.0206476822213
60,0.4,0.2,"TC",21.3079080575155
60,0.4,0.2,"TC",21.2042975364203
60,0.4,0.2,"TC",18.2638971718044
60,0.4,0.2,"TC",15.9899704385521
60,0.4,0.2,"TC",16.7317077420096
60,0.4,0.2,"TC",23.3062522928955
60,0.4,0.2,"TC",13.5000867499273
60,0.4,0.2,"TC",22.1739234578225
60,0.4,0.2,"TC",17.4387574968791
60,0.4,0.2,"TC",20.2967068751121
60,0.4,0.2,"TC",18.4644810765945
60,0.4,0.2,"TC",16.9742350743419
60,0.4,0.2,"TC",22.2525962794014
60,0.4,0.2,"TC",20.1025214616402
60,0.4,0.2,"TC",22.2311457983283
60,0.4,0.2,"TC",21.0637396672849
60,0.4,0.2,"TC",17.7789660004852
60,0.4,0.2,"TC",23.019779331163
60,0.4,0.2,"TC",17.1672578717446
60,0.4,0.2,"TC",19.7083710749651
60,0.4,0.2,"TC",16.4946152319365
60,0.4,0.2,"TC",18.6921760605275
60,0.4,0.2,"TC",18.8066144847413
60,0.4,0.2,"TC",14.0216605535403
60,0.4,0.2,"TC",19.1080274442709
60,0.4,0.2,"TC",16.8455355947027
60,0.4,0.2,"TC",17.6594881952543
60,0.4,0.2,"TC",18.8394781326776
60,0.4,0.2,"TC",22.615571593062
60,0.4,0.2,"TC",18.6620659060044
60,0.4,0.2,"TC",21.5391372004941
60,0.4,0.2,"TC",26.8834250121349
60,0.4,0.2,"TC",21.7474883579861
60,0.4,0.2,"TC",24.6043337691077
60,0.4,0.2,"TC",21.0768050611994
60,0.4,0.2,"TC",21.8913776057157
60,0.4,0.2,"TC",19.2982455513057
60,0.4,0.2,"TC",16.9023530928357
60,0.4,0.2,"TC",12.452075762512
60,0.4,0.2,"TC",16.1108220089715
60,0.4,0.2,"TC",15.2396418357325
60,0.4,0.2,"TC",19.2035666615439
60,0.4,0.2,"TC",21.1720588988845
60,0.4,0.2,"TC",19.8051916883785
60,0.4,0.2,"TC",17.6680445928381
60,0.4,0.2,"TC",21.2065901137681
60,0.4,0.2,"TC",20.5849167754766
60,0.4,0.2,"TC",18.9326439335831
60,0.4,0.2,"TC",14.6254163687143
60,0.4,0.2,"TC",21.9497116054173
60,0.4,0.2,"TC",13.3776352438
60,0.4,0.2,"TC",22.4647247372233
60,0.4,0.2,"TC",19.7493601804564
60,0.4,0.2,"TC",20.9033964853846
60,0.4,0.2,"TC",16.7672115220905
60,0.4,0.2,"TC",18.5543945772883
60,0.4,0.2,"TC",18.6299018588013
60,0.4,0.2,"TC",17.5496103441293
60,0.4,0.2,"TC",18.591804923549
60,0.4,0.2,"TC",21.0043194161619
60,0.4,0.2,"TC",16.8298858607588
60,0.4,0.2,"TC",17.040335719116
60,0.4,0.2,"TC",19.2425157024576
60,0.4,0.2,"TC",20.7259962372098
60,0.4,0.2,"TC",21.2955124734193
60,0.4,0.2,"TC",15.6033133518729
60,0.4,0.2,"TC",19.683354623987
60,0.4,0.2,"TC",18.9604373994781
60,0.4,0.2,"TC",17.6587700091759
60,0.4,0.2,"TC",15.8406964124399
60,0.4,0.2,"TC",10.3430580854576
60,0.4,0.2,"TC",19.694355296667
60,0.4,0.2,"TC",11.8724244400871
60,0.4,0.2,"TC",19.8582991401038
60,0.4,0.2,"TC",16.1410992088159
60,0.4,0.2,"TC",24.8823435564029
60,0.4,0.2,"TC",17.160618142346
60,0.4,0.2,"TC",25.9257941537988
60,0.4,0.2,"TC",14.3668801850947
60,0.4,0.2,"TC",20.3766482813072
60,0.4,0.2,"TC",15.5597483396076
60,0.4,0.2,"TC",16.2077032739887
60,0.4,0.2,"TC",18.4282344540084
60,0.4,0.2,"TC",23.1550787349155
60,0.4,0.2,"TC",16.1052245970912
60,0.4,0.2,"TC",21.1492479958047
60,0.4,0.2,"TC",21.2324750605647
60,0.4,0.2,"TC",14.1208495578446
60,0.4,0.2,"TC",18.9077329217243
60,0.4,0.2,"TC",15.0348774694347
60,0.4,0.2,"TC",15.0204733656402
60,0.4,0.2,"TC",19.6712208315644
60,0.4,0.2,"TC",24.3596894019388
60,0.4,0.2,"TC",16.8857810984153
60,0.4,0.2,"TC",19.8253151791348
60,0.4,0.2,"TC",18.4773867496346
60,0.4,0.2,"TC",20.3774810450139
60,0.4,0.2,"TC",24.8047548907254
60,0.4,0.2,"TC",20.9268757933432
60,0.4,0.2,"TC",19.7344677020379
60,0.4,0.2,"TC",20.8619463357238
60,0.4,0.2,"TC",19.5978151805481
60,0.4,0.2,"TC",21.4167523977113
60,0.4,0.2,"TC",21.9608534368913
